Date,First-Time Downloads
7/31/23,4194.0
8/1/23,3993.0
8/2/23,3968.0
8/3/23,3731.0
8/4/23,4009.0
8/5/23,3877.0
8/6/23,3704.0
8/7/23,4154.0
8/8/23,4053.0
8/9/23,4079.0
8/10/23,3898.0
8/11/23,3990.0
8/12/23,3879.0
8/13/23,3507.0
8/14/23,3989.0
8/15/23,3954.0
8/16/23,4174.0
8/17/23,4530.0
8/18/23,4796.0
8/19/23,4418.0
8/20/23,3996.0
8/21/23,4371.0
8/22/23,4122.0
8/23/23,4091.0
8/24/23,4017.0
8/25/23,4131.0
8/26/23,3377.0
8/27/23,3501.0
8/28/23,4206.0
8/29/23,4173.0
8/30/23,4181.0
8/31/23,3915.0
9/1/23,3350.0
9/2/23,3297.0
9/3/23,4106.0
9/4/23,4672.0
9/5/23,4589.0
9/6/23,4284.0
9/7/23,4156.0
9/8/23,4269.0
9/9/23,4200.0
9/10/23,4335.0
9/11/23,4448.0
9/12/23,4400.0
9/13/23,4209.0
9/14/23,4320.0
9/15/23,4780.0
9/16/23,4696.0
9/17/23,4650.0
9/18/23,4696.0
9/19/23,4520.0
9/20/23,4545.0
9/21/23,4514.0
9/22/23,5204.0
9/23/23,5063.0
9/24/23,4678.0
9/25/23,4501.0
9/26/23,4549.0
9/27/23,4425.0
9/28/23,4554.0
9/29/23,4595.0
9/30/23,3641.0
10/1/23,4244.0
10/2/23,4060.0
10/3/23,3845.0
10/4/23,3621.0
10/5/23,4225.0
10/6/23,4744.0
10/7/23,4470.0
10/8/23,3782.0
10/9/23,3870.0
10/10/23,3843.0
10/11/23,3993.0
10/12/23,4163.0
10/13/23,4680.0
10/14/23,4201.0
10/15/23,3586.0
10/16/23,3664.0
10/17/23,3593.0
10/18/23,3707.0
10/19/23,3914.0
10/20/23,4454.0
10/21/23,4096.0
10/22/23,3730.0
10/23/23,4107.0
10/24/23,4037.0
10/25/23,4158.0
10/26/23,4087.0
10/27/23,4477.0
10/28/23,4065.0
10/29/23,3569.0
10/30/23,3819.0
10/31/23,3825.0
11/1/23,3904.0
11/2/23,3985.0
11/3/23,4147.0
11/4/23,3711.0
11/5/23,3251.0
11/6/23,3600.0
11/7/23,3448.0
11/8/23,3446.0
11/9/23,3521.0
11/10/23,3910.0
11/11/23,3923.0
11/12/23,3203.0
11/13/23,3433.0
11/14/23,3457.0
11/15/23,3386.0
11/16/23,3370.0
11/17/23,3823.0
11/18/23,3873.0
11/19/23,3214.0
11/20/23,3367.0
11/21/23,3262.0
11/22/23,3231.0
11/23/23,3599.0
11/24/23,4313.0
11/25/23,4166.0
11/26/23,3253.0
11/27/23,3287.0
11/28/23,3412.0
11/29/23,3282.0
11/30/23,3495.0
12/1/23,4192.0
12/2/23,4132.0
12/3/23,3128.0
12/4/23,3287.0
12/5/23,3140.0
12/6/23,3121.0
12/7/23,3200.0
12/8/23,3775.0
12/9/23,4210.0
12/10/23,3315.0
12/11/23,3155.0
12/12/23,3134.0
12/13/23,3189.0
12/14/23,3382.0
12/15/23,4052.0
